code_dpt,dpt,code_circ,circ,code_commune,commune,code_b_vote,cp,id_b_vote,inscrits,abstentions,p_abs/ins,votants,p_vot/ins,blancs,p_blancs/ins,p_blancs/vot,nuls,p_nuls/ins,p_nuls/vot,exprimés,p_exp/ins,p_exp/vot,n_panneau,sexe,nom,prenom,nuance,voix,p_voix/ins,p_voix/exp
84,Vaucluse,5,5ème circonscription,2,Ansouis,1,84002,Ansouis-1,880,419,47.61,461,52.39,1,0.11,0.22,14,1.59,3.04,446,50.68,96.75,-,-,abstention,-,-,419.0,47.61,0.0
84,Vaucluse,5,5ème circonscription,2,Ansouis,1,84002,Ansouis-1,880,419,47.61,461,52.39,1,0.11,0.22,14,1.59,3.04,446,50.68,96.75,-,-,blancs,-,-,1.0,0.11,0.22
84,Vaucluse,5,5ème circonscription,2,Ansouis,1,84002,Ansouis-1,880,419,47.61,461,52.39,1,0.11,0.22,14,1.59,3.04,446,50.68,96.75,-,-,nuls,-,-,14.0,1.59,3.04
84,Vaucluse,5,5ème circonscription,3,Apt,1,84003,Apt-1,930,518,55.7,412,44.3,10,1.08,2.43,4,0.43,0.97,398,42.8,96.6,-,-,abstention,-,-,518.0,55.7,0.0
84,Vaucluse,5,5ème circonscription,3,Apt,1,84003,Apt-1,930,518,55.7,412,44.3,10,1.08,2.43,4,0.43,0.97,398,42.8,96.6,-,-,blancs,-,-,10.0,1.08,2.43
84,Vaucluse,5,5ème circonscription,3,Apt,1,84003,Apt-1,930,518,55.7,412,44.3,10,1.08,2.43,4,0.43,0.97,398,42.8,96.6,-,-,nuls,-,-,4.0,0.43,0.97
84,Vaucluse,5,5ème circonscription,3,Apt,2,84003,Apt-2,826,452,54.72,374,45.28,6,0.73,1.6,1,0.12,0.27,367,44.43,98.13,-,-,abstention,-,-,452.0,54.72,0.0
84,Vaucluse,5,5ème circonscription,3,Apt,2,84003,Apt-2,826,452,54.72,374,45.28,6,0.73,1.6,1,0.12,0.27,367,44.43,98.13,-,-,blancs,-,-,6.0,0.73,1.6
84,Vaucluse,5,5ème circonscription,3,Apt,2,84003,Apt-2,826,452,54.72,374,45.28,6,0.73,1.6,1,0.12,0.27,367,44.43,98.13,-,-,nuls,-,-,1.0,0.12,0.27
84,Vaucluse,5,5ème circonscription,3,Apt,3,84003,Apt-3,834,455,54.56,379,45.44,5,0.6,1.32,1,0.12,0.26,373,44.72,98.42,-,-,abstention,-,-,455.0,54.56,0.0
84,Vaucluse,5,5ème circonscription,3,Apt,3,84003,Apt-3,834,455,54.56,379,45.44,5,0.6,1.32,1,0.12,0.26,373,44.72,98.42,-,-,blancs,-,-,5.0,0.6,1.32
84,Vaucluse,5,5ème circonscription,3,Apt,3,84003,Apt-3,834,455,54.56,379,45.44,5,0.6,1.32,1,0.12,0.26,373,44.72,98.42,-,-,nuls,-,-,1.0,0.12,0.26
84,Vaucluse,5,5ème circonscription,3,Apt,4,84003,Apt-4,772,486,62.95,286,37.05,3,0.39,1.05,2,0.26,0.7,281,36.4,98.25,-,-,abstention,-,-,486.0,62.95,0.0
84,Vaucluse,5,5ème circonscription,3,Apt,4,84003,Apt-4,772,486,62.95,286,37.05,3,0.39,1.05,2,0.26,0.7,281,36.4,98.25,-,-,blancs,-,-,3.0,0.39,1.05
84,Vaucluse,5,5ème circonscription,3,Apt,4,84003,Apt-4,772,486,62.95,286,37.05,3,0.39,1.05,2,0.26,0.7,281,36.4,98.25,-,-,nuls,-,-,2.0,0.26,0.7
84,Vaucluse,5,5ème circonscription,3,Apt,5,84003,Apt-5,771,510,66.15,261,33.85,7,0.91,2.68,2,0.26,0.77,252,32.68,96.55,-,-,abstention,-,-,510.0,66.15,0.0
84,Vaucluse,5,5ème circonscription,3,Apt,5,84003,Apt-5,771,510,66.15,261,33.85,7,0.91,2.68,2,0.26,0.77,252,32.68,96.55,-,-,blancs,-,-,7.0,0.91,2.68
84,Vaucluse,5,5ème circonscription,3,Apt,5,84003,Apt-5,771,510,66.15,261,33.85,7,0.91,2.68,2,0.26,0.77,252,32.68,96.55,-,-,nuls,-,-,2.0,0.26,0.77
84,Vaucluse,5,5ème circonscription,3,Apt,6,84003,Apt-6,813,398,48.95,415,51.05,7,0.86,1.69,0,0.0,0.0,408,50.18,98.31,-,-,abstention,-,-,398.0,48.95,0.0
84,Vaucluse,5,5ème circonscription,3,Apt,6,84003,Apt-6,813,398,48.95,415,51.05,7,0.86,1.69,0,0.0,0.0,408,50.18,98.31,-,-,blancs,-,-,7.0,0.86,1.69
84,Vaucluse,5,5ème circonscription,3,Apt,6,84003,Apt-6,813,398,48.95,415,51.05,7,0.86,1.69,0,0.0,0.0,408,50.18,98.31,-,-,nuls,-,-,0.0,0.0,0.0
84,Vaucluse,5,5ème circonscription,3,Apt,7,84003,Apt-7,871,476,54.65,395,45.35,4,0.46,1.01,4,0.46,1.01,387,44.43,97.97,-,-,abstention,-,-,476.0,54.65,0.0
84,Vaucluse,5,5ème circonscription,3,Apt,7,84003,Apt-7,871,476,54.65,395,45.35,4,0.46,1.01,4,0.46,1.01,387,44.43,97.97,-,-,blancs,-,-,4.0,0.46,1.01
