CODGEO;SNHM19;SNHMC19;SNHMP19;SNHME19;SNHMO19;SNHMF19;SNHMFC19;SNHMFP19;SNHMFE19;SNHMFO19;SNHMH19;SNHMHC19;SNHMHP19;SNHMHE19;SNHMHO19;SNHM1819;SNHM2619;SNHM5019;SNHMF1819;SNHMF2619;SNHMF5019;SNHMH1819;SNHMH2619;SNHMH5019
01;14.5356422965482;27.7024246412246;16.5505443711783;11.8082728245145;11.4621447691895;13.8472684204247;24.5723252644958;16.006363573372;11.5721976825412;9.86073468045615;15.1462035625311;30.0700648230997;17.1680958936054;12.2826665651906;11.7189546164087;9.69383313910745;14.0845949375483;16.5366789136017;9.79959524798656;13.6557401586213;15.1347093767444;9.61419850083248;14.4825844557418;17.7277725958011
02;14.3335059832337;27.5503939248187;16.1577383840343;11.6190639450546;11.5537631357176;13.6239931205624;24.4340024517012;15.5399640463228;11.4345691930164;9.89344446197662;14.9688466613512;30.0805925738792;16.8755589729383;11.9959626374536;11.8695525640294;9.71644774907428;13.9311962535086;15.9281849912325;9.730411546495;13.4819334389346;14.6151165866745;9.70570236082673;14.3541020820432;17.0444867258399
03;14.9235370914895;28.3329420333387;17.4644878536653;11.6521595452928;11.5284633632427;14.0424548755734;24.7364686345527;15.9975255074711;11.528898369866;9.75414792096956;15.4664795112579;30.4142899737298;18.6455784730146;11.8350175909766;11.7531152857079;9.97251394531171;14.4378660758809;18.3920664501645;9.95842729875185;13.8360291491356;16.9798809908933;9.98167238080972;14.8449861325575;19.0502770085436
04;13.4674879627327;26.2315365837306;15.468746716722;11.0030043566787;11.3744723251196;12.8690657804865;23.214314759162;14.7967355863203;10.8858830767732;9.64904952081253;13.8583774972572;28.0941828511538;16.1038757624708;11.1759082005941;11.5551214780626;9.21122828734664;13.3205793021954;16.0800294143576;9.10599682391734;12.9862490966987;14.6841495461698;9.28732667659418;13.5463416422805;16.8571636793999
11;19.7954550442265;31.4981074974183;16.8946461775116;12.0289470888962;11.927990806378;18.0927308137422;27.5994928932723;16.0708260817272;12.0358674085729;10.5859987451409;21.0445006742702;34.1872868678808;17.6822302421247;12.0189702428117;12.1814775686597;11.2590820313738;19.3532038992843;24.272561226277;10.9346881498146;18.2397214352094;20.795706812784;11.5505084143865;20.1568985755832;26.738519446471
24;14.3301129602324;24.8359332388473;15.2993048886205;11.0615815085409;11.702230844924;12.9610505558893;21.6807659061348;14.2389295616053;10.8990610666809;10.7893008248653;15.2983044178461;26.3650752731357;16.1423854878544;11.4820746089365;11.9433190021841;10.2401122697612;14.1606980461588;16.3536008196494;9.92821837955795;12.9837220438095;14.1122345405939;10.4679912835708;14.9778848132815;17.9878663338046
27;13.8731766421177;24.2733382549829;15.0534874550486;10.9268423151126;11.7803076119604;12.434464186019;21.0739440994864;13.7862667735782;10.734120315865;10.5330344180801;14.8639658079262;25.7625298751399;16.0483022870228;11.4695453741372;12.0868495565639;10.1982944278592;13.7511378468252;15.7108164882215;9.79494019881563;12.4829362903631;13.4460025140866;10.4848094866262;14.6077595879858;17.3195743249688
28;14.27305035662;25.0061891996755;15.5586698745496;10.9591006551514;12.0694342808819;12.7654763814185;21.7270740896609;14.1917757140146;10.7563833385831;10.6947825132482;15.2799978795685;26.6243541904751;16.59453677246;11.4816255003608;12.3735820331985;10.2629338267813;14.13483715667;16.4031504307267;9.85856162954926;12.8256665577335;13.9550209368376;10.5527844887365;14.9944050244793;18.0570509076138
32;14.3634550851302;24.8708239493521;15.2918580923452;10.9866313917653;11.8157602739433;12.9282385006135;21.7058055607584;14.0083537974474;10.7534512523724;10.3520433276976;15.2508497518845;26.4074908185609;16.2621525952873;11.4723567502233;12.0887185983926;10.3023144649516;14.2325175052345;16.5869396876547;9.88073216107365;13.0354249832341;14.1799654744638;10.6030418348793;14.9655801582267;18.0172701674147
44;14.2043664399553;24.6442166685357;15.356675980072;10.9018476974167;11.9999723603533;12.6754675348491;21.4694289610017;14.0413457077618;10.7039285240699;10.5225026303415;15.2714696215897;26.2052246270641;16.4372273619374;11.4268377854622;12.3147610501265;10.1970564070273;14.0366762972281;16.2769280093357;9.76958373005605;12.743942045023;13.7884842618168;10.5259070020354;14.9200257678118;18.0308382431454
