Code du département;Département;Code de la circonscription;Circonscription;Code de la commune;Commune;Bureau de vote;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;N°Panneau;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Insee;Coordonnées;Nom Bureau Vote;Adresse;Code Postal;Ville;uniq_bdv
84;Vaucluse;05;5ème circonscription;067;Loriol-du-Comtat;0002;935;482;51.55;453;48.45;9;0.96;1.99;6;0.64;1.32;438;46.84;96.69;10;F;KADLER;Marie-Christine;ECO;13;1.3900000000000001;2.969999999999999;84067;44.07664,5.001173;Salle des fêtes;Le Village;84870;Loriol-du-Comtat;Salle des fêtes -  Loriol-du-Comtat
84;Vaucluse;05;5ème circonscription;009;La Bastide-des-Jourdans;0001;1137;572;50.31;565;49.69;4;0.35000000000000003;0.71;10;0.88;1.77;551;48.46;97.52;9;F;DAURES;Anne;ECO;12;1.06;2.18;84009;43.784644,5.63319;Mairie - salle des mariages;1, cours de la République;84240;La Bastide-des-Jourdans;Mairie - salle des mariages -  La Bastide-des-Jourdans
84;Vaucluse;05;5ème circonscription;018;Blauvac;0001;404;163;40.35;241;59.65;5;1.24;2.07;6;1.49;2.49;230;56.93;95.44;8;M;CHOTARD;Stéphane;FI;29;7.18;12.61;84018;44.040518,5.214909;Mairie;9 Quartier Sain Estève;84570;Blauvac;Mairie -  Blauvac
84;Vaucluse;05;5ème circonscription;003;Apt;0006;813;398;48.95;415;51.05;7;0.86;1.69;0;0.0;0.0;408;50.18;98.31;11;M;VIARD;Jean;REM;124;15.25;30.39;84003;43.874984,5.395975;Ecole maternelle La Ruche- Salle de Jeux - entrée gauche;Rue Gambetta;84400;Apt;Ecole maternelle La Ruche- Salle de Jeux - entrée gauche -  Apt
84;Vaucluse;05;5ème circonscription;112;Saint-Martin-de-Castillon;0001;611;282;46.15;329;53.85;4;0.65;1.22;3;0.49;0.91;322;52.7;97.87;13;F;MOREL;Véronique;DIV;3;0.49;0.93;84112;43.859361,5.51052;Mairie;Place de la poste;84750;Saint-Martin-de-Castillon;Mairie -  Saint-Martin-de-Castillon
84;Vaucluse;05;5ème circonscription;067;Loriol-du-Comtat;0001;979;517;52.81;462;47.19;5;0.51;1.08;4;0.41000000000000003;0.87;453;46.27;98.05;1;M;CHALENÇON;Christophe;DVD;2;0.2;0.44;84067;44.07664,5.001173;Salle des fêtes;Le Village;84870;Loriol-du-Comtat;Salle des fêtes -  Loriol-du-Comtat
84;Vaucluse;05;5ème circonscription;031;Carpentras;0001;620;406;65.48;214;34.52;3;0.48;1.4;5;0.81;2.34;206;33.23;96.26;1;M;CHALENÇON;Christophe;DVD;2;0.32;0.97;84031;44.055484,5.048656;Hôtel de ville;Place Maurice Charretier;84200;Carpentras;Hôtel de ville -  Carpentras
84;Vaucluse;05;5ème circonscription;031;Carpentras;0005;796;372;46.73;424;53.27;5;0.63;1.18;6;0.75;1.42;413;51.88;97.41;4;F;KRAFT;Sandrine;DVD;11;1.38;2.66;84031;44.070776,5.05622;Salle polyvalente de Serres;Avenue Saint Roch;84200;Carpentras;Salle polyvalente de Serres -  Carpentras
84;Vaucluse;05;5ème circonscription;024;Cabrières-d'Aigues;0001;702;299;42.59;403;57.41;1;0.14;0.25;6;0.85;1.49;396;56.41;98.26;11;M;VIARD;Jean;REM;137;19.52;34.6;84024;43.772592,5.5166830000000004;Mairie - salle des cérémonies;Rue de la poste;84240;Cabrières-d'Aigues;Mairie - salle des cérémonies -  Cabrières-d'Aigues
84;Vaucluse;05;5ème circonscription;145;Villars;0001;595;243;40.84;352;59.16;8;1.34;2.27;0;0.0;0.0;344;57.82;97.73;9;F;DAURES;Anne;ECO;9;1.51;2.62;84145;43.923145,5.406618;Salle polyvalente;Route des Petits Cléments;84400;Villars;Salle polyvalente -  Villars
